id,price,neighborhood,borough,accommodates,bathrooms,bedrooms,beds,review_scores_rating,number_of_reviews,listing_url
837568954273932e3,90,Financial District,Manhattan,2,1,1,1,NA,0,https://www.airbnb.com/rooms/837568954273931987
837570147831223300,109,Midtown,Manhattan,3,1,1,2,4.8,5,https://www.airbnb.com/rooms/837570147831223278
837590494379094800,130,Upper East Side,Manhattan,3,1,1,2,4.86,7,https://www.airbnb.com/rooms/837590494379094798
837596213891828100,NA,Williamsburg,Brooklyn,2,NA,NA,NA,NA,0,https://www.airbnb.com/rooms/837596213891828121
837601171260417900,100,Elmhurst,Queens,2,1,1,1,5,1,https://www.airbnb.com/rooms/837601171260417968
837615861348803e3,226,Harlem,Manhattan,3,1,1,2,4.76,63,https://www.airbnb.com/rooms/837615861348802891
837637518064498200,160,Hell's Kitchen,Manhattan,2,1,1,1,4.67,3,https://www.airbnb.com/rooms/837637518064498209
837666970450706e3,45,Rosedale,Queens,1,1,1,1,4.98,43,https://www.airbnb.com/rooms/837666970450706079
837677241873217400,230,Bedford-Stuyvesant,Brooklyn,6,2,2,3,4.96,25,https://www.airbnb.com/rooms/837677241873217389
837698762818158600,175,Williamsburg,Brooklyn,3,1,2,2,5,6,https://www.airbnb.com/rooms/837698762818158615
837705512484546600,175,Flatbush,Brooklyn,4,1,0,2,NA,0,https://www.airbnb.com/rooms/837705512484546536
837710549549184400,152,Sheepshead Bay,Brooklyn,2,1,1,1,4.96,56,https://www.airbnb.com/rooms/837710549549184416
837710715465059200,320,Upper West Side,Manhattan,4,1,0,1,NA,0,https://www.airbnb.com/rooms/837710715465059182
837794867450536800,NA,Upper West Side,Manhattan,1,NA,1,NA,5,3,https://www.airbnb.com/rooms/837794867450536878
837800636838438300,90,Coney Island,Brooklyn,4,2,1,2,4.86,21,https://www.airbnb.com/rooms/837800636838438304
837805409340962700,91,East Village,Manhattan,2,1,0,1,4.6,5,https://www.airbnb.com/rooms/837805409340962721
837852270134939e3,90,Coney Island,Brooklyn,2,2,1,1,4.94,17,https://www.airbnb.com/rooms/837852270134939044
837867086560680700,150,Astoria,Queens,4,1,1,2,5,5,https://www.airbnb.com/rooms/837867086560680679
837888270806369900,90,Coney Island,Brooklyn,2,2,1,1,5,19,https://www.airbnb.com/rooms/837888270806369904
837909730353865200,306,College Point,Queens,6,2,3,4,5,12,https://www.airbnb.com/rooms/837909730353865269
837943422499844400,176,Bedford-Stuyvesant,Brooklyn,4,1,1,1,4.85,20,https://www.airbnb.com/rooms/837943422499844318
837954385452241e3,80,Corona,Queens,2,1,1,2,NA,0,https://www.airbnb.com/rooms/837954385452241019
837973163592415e3,NA,Midtown,Manhattan,4,NA,1,NA,5,1,https://www.airbnb.com/rooms/837973163592414954
838047023330162400,178,Westchester Square,Bronx,4,1,1,1,NA,0,https://www.airbnb.com/rooms/838047023330162496
838047027381953900,185,Westchester Square,Bronx,4,1,1,2,NA,0,https://www.airbnb.com/rooms/838047027381953926
838056713765994500,90,St. George,Staten Island,2,1,1,1,4.95,38,https://www.airbnb.com/rooms/838056713765994438
838140438684301200,240,East Harlem,Manhattan,8,2,4,4,NA,0,https://www.airbnb.com/rooms/838140438684301140
838140921544263400,180,East Harlem,Manhattan,8,2,3,4,NA,0,https://www.airbnb.com/rooms/838140921544263409
838141198693830700,140,East Harlem,Manhattan,8,2,3,3,NA,0,https://www.airbnb.com/rooms/838141198693830649
838218404811254100,85,Belmont,Bronx,2,1,1,1,5,5,https://www.airbnb.com/rooms/838218404811254111
838222335282905e3,120,Bedford-Stuyvesant,Brooklyn,2,1,1,3,4.55,11,https://www.airbnb.com/rooms/838222335282904975
838263870384970600,NA,Cambria Heights,Queens,1,NA,NA,NA,NA,0,https://www.airbnb.com/rooms/838263870384970566
838312418978975100,450,Upper East Side,Manhattan,4,1,1,1,NA,0,https://www.airbnb.com/rooms/838312418978975100
838321552121170700,225,Bedford-Stuyvesant,Brooklyn,4,1,2,2,5,22,https://www.airbnb.com/rooms/838321552121170735
838394397813629200,NA,Theater District,Manhattan,12,NA,3,NA,NA,0,https://www.airbnb.com/rooms/838394397813629156
838394410576749800,NA,Midtown,Manhattan,12,NA,3,NA,NA,0,https://www.airbnb.com/rooms/838394410576749777
838395550207777500,NA,Midtown,Manhattan,8,NA,2,NA,NA,0,https://www.airbnb.com/rooms/838395550207777533
838395592635084700,453,Midtown,Manhattan,8,2,2,4,5,1,https://www.airbnb.com/rooms/838395592635084674
838396200639462500,227,Midtown,Manhattan,4,1,1,2,NA,0,https://www.airbnb.com/rooms/838396200639462555
838396258978907100,NA,Theater District,Manhattan,4,NA,1,NA,NA,0,https://www.airbnb.com/rooms/838396258978907145
838397208918790800,NA,Theater District,Manhattan,2,NA,1,NA,NA,0,https://www.airbnb.com/rooms/838397208918790811
